PLAYER,TEAM,POS,ADP,PCT_DRAFTED
Miles Bridges,PHX,"PF",98.4,99%
Allen Graves,TOR,"PF",98.4,2%
Immanuel Quickley,TOR,"PG,SG",98.7,99%
Jabari Smith Jr.,HOU,"PF,C",98.8,99%
Daniel Gafford,DAL,"C",99.4,5%
Moussa Diabaté,CHA,"C",100.3,3%
Cedric Coward,MEM,"SG,SF",100.5,99%
Isaiah Hartenstein,OKC,"C",101.9,97%
Mark Williams,PHX,"C",102.6,97%
Neemias Queta,BOS,"C",104.9,98%
Jaime Jaquez Jr.,MIL,"SG,SF,PF",105.4,98%
Johni Broome,LAC,"C",105.4,5%
Kristaps Porziņģis,GSW,"C",105.9,98%
Rui Hachimura,LAC,"SF,PF",106.2,4%
Ayo Dosunmu,MIN,"PG,SG",106.3,96%
Cameron Johnson,DEN,"SF,PF",107.9,4%
Jared McCain,OKC,"PG,SG",108.1,3%
Jalen Suggs,ORL,"PG,SG",108.3,97%
Jalen Green,PHX,"SG,SF",109.5,97%
Sam Hauser,BOS,"SF,PF",109.6,2%
Andrew Wiggins,MIA,"SG,SF,PF",109.9,98%
Mitchell Robinson,BOS,"C",109.9,5%
Wendell Carter Jr.,ORL,"C",110.0,93%
Ajay Mitchell,OKC,"PG,SG",110.2,10%
Darius Acuff Jr.,SAC,"PG",110.7,97%
Klay Thompson,MIA,"SG,SF",110.8,7%
CJ McCollum,ATL,"PG,SG",111.1,99%
RJ Barrett,TOR,"SG,SF,PF",111.3,96%
Aaron Gordon,DEN,"PF,C",111.5,28%
Kyshawn George,WAS,"SG,SF,PF",111.5,96%
Davion Mitchell,MIA,"PG",111.9,10%
Nikola Vučević,ORL,"C",111.9,13%
Kelly Oubre Jr.,IND,"SF,PF",112.0,5%
Draymond Green,GSW,"PF,C",112.8,12%
Anfernee Simons,PHI,"PG,SG",113.0,3%
Julian Champagnie,SAS,"SF,PF",113.1,5%
Brandin Podziemski,GSW,"PG,SG",113.8,91%
Isaiah Stewart,MEM,"PF,C",113.8,5%
Shaedon Sharpe,POR,"PG,SG",114.2,4%
Cason Wallace,OKC,"PG,SG,SF",114.6,15%
Reed Sheppard,HOU,"PG,SG",114.7,18%
Sandro Mamukelashvili,LAL,"PF,C",115.1,90%
Dillon Brooks,PHX,"SF,PF",115.5,20%
Peyton Watson,CLE,"SF,PF",115.8,87%
Jrue Holiday,POR,"PG,SG",116.0,17%
Yaxel Lendeborg,GSW,"PF",116.1,30%
Kevin Porter Jr.,MIL,"PG,SG",116.4,87%
Ace Bailey,UTA,"SF,PF",116.7,26%
DeMar DeRozan,DEN,"SF,PF",116.7,83%
Collin Sexton,LAL,"PG,SG",116.9,3%
Jeremiah Fears,NOP,"PG,SG",117.0,35%
Bobby Portis,MIA,"PF,C",117.1,3%
Jonathan Kuminga,MIN,"SF,PF",117.1,3%
Devin Vassell,SAS,"SG,SF",117.2,10%
Jusuf Nurkić,UTA,"C",117.6,78%
Deandre Ayton,WAS,"C",117.6,5%
Christian Braun,DEN,"SG,SF,PF",118.5,14%
John Collins,DET,"PF,C",118.9,78%
P.J. Washington,DAL,"PF,C",119.2,12%
Toumani Camara,POR,"SF,PF",119.3,84%
Anthony Black,ORL,"PG,SG,SF",119.4,27%
Kyle Filipowski,UTA,"PF,C",119.6,5%
Kyle Kuzma,MIL,"SF,PF",120.0,3%
Zach LaVine,SAC,"PG,SG,SF",120.4,68%
Fred VanVleet,HOU,"PG",120.6,65%
Jimmy Butler III,GSW,"SF,PF",120.7,61%
Khaman Maluach,PHX,"C",120.8,2%
Collin Murray-Boyles,TOR,"PF,C",121.1,48%
Maxime Raynaud,SAC,"C",121.1,46%
Egor Dëmin,BKN,"PG,SG",121.1,11%
Keaton Wagler,LAC,"SG",121.1,9%
Quentin Grimes,LAL,"SG,SF",121.4,9%
Andrew Nembhard,IND,"PG,SG",121.5,32%
Bennedict Mathurin,NOP,"SG,SF",121.5,5%
Keegan Murray,SAC,"SF,PF",121.6,79%
Jakob Poeltl,TOR,"C",121.8,5%
Mikel Brown Jr.,BKN,"PG",122.4,2%
Morez Johnson Jr.,DAL,"PF",123.0,3%
Saddiq Bey,NOP,"SF,PF",123.1,53%
Paul Reed,DET,"PF,C",123.6,2%
Collin Gillespie,PHX,"PG,SG",124.8,13%
