PLAYER,MY_RANK,TIER,ADP,PCT_DRAFTED,ADP_PREV,YAHOO_RANK,X_RANK,AVOID,NOTE
Devin Booker,27,,31.7,100.0,31.6,33.0,24.0,False,
Devin Carter,,,,,,408.0,,True,
Devin Vassell,96,,117.2,10.0,117.2,161.0,122.0,False,
Dillon Brooks,149,,115.5,20.0,115.6,155.0,150.0,False,
Domantas Sabonis,22,,35.2,100.0,35.2,34.0,22.0,False,
Dominick Barlow,,,,,,274.0,266.0,True,
Donovan Clingan,79,,40.7,100.0,40.6,38.0,39.0,False,
Donovan Mitchell,12,,19.3,100.0,19.5,11.0,11.0,False,
Donte DiVincenzo,,,,,,251.0,216.0,False,
Draymond Green,,,112.8,12.0,112.8,147.0,142.0,False,
Dru Smith,,,,,,280.0,272.0,True,
Duncan Robinson,,,96.3,3.0,96.3,205.0,205.0,False,
Dylan Cardwell,,,,,,206.0,224.0,False,
Dylan Harper,95,,79.2,100.0,79.1,79.0,91.0,False,
Dyson Daniels,73,,62.8,100.0,62.9,63.0,60.0,False,
Egor Demin,,,121.1,11.0,121.1,135.0,164.0,False,
Elijah Harkless,,,,,,436.0,,True,
Enrique Freeman,,,,,,551.0,,True,
Eric Gordon,,,,,,487.0,,True,
Ethan Thompson,,,,,,433.0,,True,
Evan Mobley,36,,32.3,100.0,32.4,32.0,28.0,False,
Franz Wagner,50,,53.8,100.0,53.9,51.0,49.0,False,
Fred VanVleet,108,,120.6,65.0,120.6,,136.0,False,
GG Jackson,,,,,,233.0,,False,
Gary Payton II,,,,,,265.0,263.0,True,
Giannis Antetokounmpo,6,,12.1,100.0,12.2,9.0,9.0,False,
Goga Bitadze,,,,,,263.0,260.0,True,
Grant Williams,,,,,,357.0,,True,
Grayson Allen,,,,,,171.0,160.0,False,
Gui Santos,,,,,,200.0,250.0,False,
Hannes Steinbach,,,,,,,240.0,False,
Harrison Barnes,,,,,,256.0,255.0,True,
Hayden Gray,,,,,,578.0,,True,
Haywood Highsmith,,,,,,421.0,,True,
Herbert Jones,145,,,,,179.0,149.0,False,
Immanuel Quickley,81,,98.7,99.0,98.7,90.0,88.0,False,
Isaac Okoro,,,,,,286.0,277.0,True,
Isaiah Collier,,,,,,164.0,281.0,False,
Isaiah Hartenstein,71,,101.9,97.0,102.0,99.0,102.0,False,
Isaiah Jackson,,,,,,228.0,231.0,False,
Isaiah Joe,,,,,,213.0,203.0,False,
Isaiah Stewart,,,113.8,5.0,113.8,157.0,168.0,False,
Ivica Zubac,59,,68.3,99.0,68.4,68.0,63.0,False,
Ja Morant,119,,91.0,99.0,91.1,89.0,103.0,False,
Ja'Kobe Walter,,,,,,272.0,234.0,True,
Jabari Smith Jr.,124,,98.8,99.0,98.7,111.0,94.0,False,
Jaden Ivey,,,,,,358.0,,True,
Jaden McDaniels,86,,78.2,99.0,78.1,74.0,89.0,False,
Jahmai Mashack,,,,,,442.0,,True,
Jaime Jaquez Jr.,104,,105.4,98.0,105.4,117.0,127.0,False,
Jake LaRavia,,,,,,249.0,223.0,False,
Jakob Poeltl,99,,121.8,5.0,121.8,136.0,114.0,False,
Jalen Brunson,26,,22.9,100.0,22.9,28.0,29.0,False,
Jalen Duren,33,,31.4,100.0,31.4,29.0,36.0,False,
Jalen Green,85,,109.5,97.0,109.5,124.0,125.0,False,
Jalen Johnson,11,,16.2,100.0,16.3,10.0,10.0,False,
Jalen Slawson,,,,,,439.0,,True,
Jalen Smith,,,,,,217.0,199.0,False,
Jalen Suggs,129,,108.3,97.0,108.2,102.0,104.0,False,
Jalen Williams,45,,44.8,100.0,44.8,43.0,38.0,False,
Jamal Murray,14,,18.7,100.0,18.7,17.0,17.0,False,
Jamal Shead,,,,,,234.0,267.0,False,
James Harden,31,,38.5,100.0,38.5,35.0,30.0,False,
Jamir Watkins,,,,,,338.0,,True,
Jarace Walker,,,,,,267.0,233.0,False,
Jared McCain,,,108.1,3.0,108.1,223.0,248.0,False,
Jaren Jackson Jr.,48,,54.5,100.0,54.5,50.0,43.0,False,
Jarred Vanderbilt,,,,,,325.0,,True,
Jarrett Allen,92,,77.8,99.0,77.8,76.0,65.0,False,
Javon Small,,,,,,344.0,,True,
Javonte Green,,,,,,254.0,254.0,True,
Jaxson Hayes,,,,,,283.0,225.0,False,
Jay Huff,,,,,,165.0,209.0,False,
Jaylen Brown,43,,32.2,100.0,32.2,40.0,31.0,False,
Jaylen Wells,,,,,,227.0,185.0,False,
Jaylin Williams,,,,,,193.0,236.0,False,
Jaylon Tyson,,,,,,192.0,232.0,False,
Jayson Tatum,5,,12.2,100.0,12.3,7.0,8.0,False,
Jerami Grant,,,,,,172.0,163.0,False,
Jeremiah Fears,,,117.0,35.0,117.0,159.0,155.0,False,
Jericho Sims,,,,,,331.0,,True,
Jevon Carter,,,,,,348.0,,True,
Jimmy Butler III,,,120.7,61.0,120.6,129.0,134.0,False,
Jock Landale,,,,,,229.0,275.0,True,
Joel Embiid,88,,47.9,100.0,47.9,48.0,59.0,False,
John Collins,,,118.9,78.0,118.9,121.0,112.0,False,
John Konchar,,,,,,275.0,268.0,True,
John Poulakidas,,,,,,475.0,,True,
Johni Broome,,,105.4,5.0,105.4,,673.0,True,
Jonas Valanciunas,,,,,,277.0,270.0,True,
Jonathan Kuminga,,,117.1,3.0,117.1,207.0,363.0,False,
Jordan Goodwin,,,,,,261.0,235.0,True,
Jordan Miller,,,,,,314.0,,True,
Jordan Poole,,,,,,237.0,174.0,False,
Jordan Walsh,,,,,,299.0,290.0,True,
Jose Alvarado,,,,,,276.0,269.0,False,
Josh Giddey,21,,30.0,100.0,30.0,27.0,18.0,False,
Josh Hart,74,,96.7,99.0,96.6,97.0,100.0,False,
Josh Minott,,,,,,321.0,,True,
Jrue Holiday,136,,116.0,17.0,115.8,133.0,132.0,False,
Julian Champagnie,,,113.1,5.0,113.1,151.0,179.0,False,
Julian Reese,,,,,,471.0,,True,
Julian Strawther,,,,,,337.0,,False,
Julius Randle,63,,64.1,99.0,64.1,64.0,75.0,False,
Justin Champagnie,,,,,,253.0,253.0,False,
Justin Edwards,,,,,,309.0,,True,
Jusuf Nurkic,98,,117.6,78.0,117.8,114.0,106.0,False,
Kadary Richmond,,,,,,519.0,,True,
Karl-Anthony Towns,18,,15.2,100.0,15.1,16.0,16.0,False,
Karlo Matkovic,,,,,,284.0,247.0,True,
Kasparas Jakucionis,,,,,,345.0,,True,
Kawhi Leonard,28,,19.9,100.0,19.9,18.0,33.0,False,
Keaton Wagler,150,,121.1,9.0,120.8,,206.0,False,
Keegan Murray,107,,121.6,79.0,121.6,118.0,128.0,False,
Kel'el Ware,54,,75.4,99.0,75.5,82.0,69.0,False,
Keldon Johnson,,,,,,196.0,198.0,False,
Kelly Oubre Jr.,,,112.0,5.0,110.6,145.0,157.0,False,
Kennedy Chandler,,,,,,494.0,,True,
Kenrich Williams,,,,,,339.0,,True,
Kentavious Caldwell-Pope,,,,,,292.0,284.0,True,
Keon Ellis,,,,,,230.0,207.0,True,
Keshon Gilbert,,,,,,552.0,,True,
Kevin Durant,10,,15.5,100.0,15.5,14.0,15.0,False,
Kevin Huerter,,,,,,257.0,228.0,False,
Kevin Love,,,,,,365.0,,True,
Kevin Porter Jr.,113,,116.4,87.0,116.5,110.0,121.0,False,
Kevon Looney,,,,,,397.0,,True,
Keyonte George,61,,52.6,100.0,52.6,47.0,51.0,False,
Khaman Maluach,83,,120.8,2.0,120.8,,115.0,False,
Khris Middleton,,,,,,302.0,237.0,True,
Killian Hayes,,,,,,448.0,,True,
Klay Thompson,,,110.8,7.0,110.8,273.0,192.0,False,
Kobe Brown,,,,,,353.0,,True,
Kobe Sanders,,,,,,332.0,242.0,True,
Kon Knueppel,40,,37.1,100.0,37.1,37.0,45.0,False,
Kris Dunn,,,,,,252.0,211.0,False,
Kris Murray,,,,,,328.0,,True,
Kristaps Porzingis,126,,105.9,98.0,105.8,105.0,97.0,False,
Kyle Anderson,,,,,,317.0,,True,
Kyle Filipowski,,,119.6,5.0,120.1,166.0,176.0,False,
Kyle Kuzma,,,120.0,3.0,120.0,212.0,180.0,False,
Kyrie Irving,38,,49.0,100.0,48.9,,48.0,False,
Kyshawn George,134,,111.5,96.0,111.6,106.0,120.0,False,
LaMelo Ball,17,,22.5,100.0,22.5,20.0,23.0,False,
Landry Shamet,,,,,,341.0,,True,
Lauri Markkanen,32,,43.9,100.0,43.8,44.0,34.0,False,
