PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Nic Claxton,CHI,"C",,98,164,72%,69,27:49,4.8,8.4,.571,2.0,3.3,.616,0.0,11.7,6.9,3.7,0.7,1.1,1.4
Maxime Raynaud,SAC,"C",,127,165,40%,74,26:32,5.2,9.1,.571,1.8,2.3,.786,0.3,12.5,7.5,1.4,0.5,0.5,1.3
Herbert Jones,NOP,"SG,SF",,179,166,15%,56,28:21,3.3,8.5,.383,0.9,1.1,.806,1.4,8.9,3.4,2.8,1.6,0.5,1.3
Dillon Brooks,PHX,"SF,PF",,155,167,36%,56,30:23,7.4,17.1,.435,3.0,3.6,.842,2.3,20.2,3.6,1.8,1.0,0.2,1.8
Shaedon Sharpe,POR,"PG,SG",INJ,146,168,23%,50,29:25,7.8,17.4,.452,3.1,3.9,.787,2.1,20.8,4.3,2.6,1.4,0.1,2.9
Naji Marshall,DAL,"SG,SF,PF",,203,169,12%,74,29:30,5.7,11.1,.510,3.1,4.1,.760,0.8,15.2,4.7,3.3,1.1,0.1,1.6
RJ Barrett,TOR,"SG,SF,PF",,123,170,66%,57,30:16,7.0,14.3,.491,3.5,4.9,.717,1.7,19.3,5.3,3.3,0.7,0.3,1.7
Christian Braun,DEN,"SG,SF,PF",,167,171,28%,44,31:48,4.6,8.8,.519,1.8,2.3,.782,1.0,12.0,4.8,2.7,0.7,0.3,1.0
Davion Mitchell,MIA,"PG",,137,172,32%,70,28:34,3.7,7.6,.490,0.6,0.9,.646,1.3,9.3,2.7,6.5,1.0,0.2,1.5
Miles McBride,NYK,"PG,SG",,294,173,4%,41,26:20,4.2,9.9,.423,0.9,1.1,.787,2.7,12.0,2.4,2.6,0.9,0.2,0.8
DaQuan Jeffries,SAC,"SG,SF",NA,477,174,0%,3,20:00,3.7,6.3,.579,1.7,1.7,1.000,1.3,10.3,1.7,0.3,0.7,0.0,0.0
Bennedict Mathurin,NOP,"SG,SF",,175,175,23%,54,30:00,5.4,12.5,.430,5.4,6.2,.869,1.4,17.6,5.4,2.4,0.8,0.2,2.2
Duncan Robinson,DET,"SG,SF",,205,176,11%,77,27:26,4.1,9.1,.456,1.1,1.4,.755,2.9,12.2,2.7,2.1,0.6,0.3,0.7
Adama Bal,MEM,"SF",NA,489,177,0%,8,30:07,3.5,8.5,.412,1.1,1.3,.900,2.3,10.4,3.1,2.4,1.1,0.1,0.8
Julian Reese,DEN,"C",NA,471,178,0%,13,30:55,4.8,9.2,.529,2.2,3.4,.636,0.0,11.8,10.5,1.8,1.4,0.6,2.5
Quentin Grimes,LAL,"SG,SF",,140,179,30%,75,29:24,4.5,10.1,.450,2.7,3.2,.840,1.7,13.4,3.6,3.3,0.9,0.4,1.8
Dylan Cardwell,SAC,"PF,C",,206,180,6%,44,20:36,2.4,4.1,.587,0.6,1.2,.510,0.0,5.4,7.5,1.4,0.7,1.5,0.9
Jalen Smith,CHI,"PF,C",,217,181,5%,53,20:39,3.7,7.6,.483,1.3,1.8,.742,1.5,10.2,6.7,1.2,0.5,0.8,1.0
Scotty Pippen Jr.,MEM,"PG",GTD,176,182,14%,10,21:12,4.3,9.6,.448,1.8,2.3,.783,1.0,11.4,2.2,4.7,1.9,0.4,2.7
Jaime Jaquez Jr.,MIL,"SG,SF,PF",,117,183,70%,75,28:16,6.2,12.2,.507,2.2,2.9,.769,0.8,15.4,5.0,4.7,0.7,0.3,2.0
