PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Jordan Walsh,BOS,"SF,PF",,299,285,1%,68,17:49,2.0,3.9,.509,0.6,0.8,.772,0.7,5.4,4.0,0.8,0.7,0.5,0.5
Jordan Poole,NOP,"PG,SG",,237,286,7%,39,23:55,4.2,11.4,.372,2.5,2.9,.860,2.5,13.4,2.0,3.1,0.6,0.4,1.8
Lonzo Ball,CLE,"PG,SG",NA,351,287,1%,35,20:48,1.5,5.0,.301,0.4,0.6,.667,1.1,4.6,4.0,3.9,1.3,0.3,1.5
Ronald Holland II,DET,"SF,PF",,226,288,4%,78,19:52,3.0,7.0,.432,1.5,1.9,.805,0.6,8.2,4.0,1.2,1.2,0.3,1.2
Dennis Schröder,CHA,"PG,SG",,269,289,5%,70,24:14,3.6,9.0,.405,2.4,2.9,.834,1.1,10.8,2.7,4.9,0.8,0.2,1.8
Spencer Jones,DEN,"SF,PF",,319,290,1%,64,22:08,2.1,4.1,.504,0.5,0.8,.608,0.9,5.5,3.3,0.8,0.8,0.5,0.5
Grant Williams,CHA,"PF,C",,357,291,1%,36,19:45,2.2,5.1,.426,1.2,1.5,.815,1.4,7.0,3.9,1.6,0.5,0.5,0.9
Taylor Hendricks,MEM,"PF,C",,238,292,4%,59,18:57,2.8,6.0,.459,0.8,1.2,.681,1.1,7.4,3.7,0.9,0.8,0.5,0.8
Quinten Post,MEM,"C",,293,293,1%,67,17:18,2.9,6.6,.440,0.5,0.6,.791,1.4,7.7,4.0,1.4,0.4,0.5,0.8
Daniss Jenkins,DET,"PG,SG",,224,294,5%,72,20:12,3.2,7.9,.408,1.9,2.2,.832,1.0,9.3,2.3,3.9,0.9,0.2,1.6
Danny Wolf,BKN,"PF,C",,334,295,3%,57,20:49,3.1,7.7,.405,1.5,1.9,.771,1.2,8.9,4.9,2.2,0.5,0.6,1.3
Dariq Whitehead,MEM,"PF",NA,514,296,0%,6,30:30,6.2,15.5,.398,0.8,1.2,.714,3.2,16.3,4.0,1.5,0.7,0.0,1.7
Kevin Love,UTA,"PF,C",NA,365,297,0%,37,16:34,2.1,5.4,.397,1.0,1.2,.841,1.4,6.7,5.8,1.8,0.4,0.2,0.8
Charles Bassey,GSW,"C",,451,298,0%,13,11:46,2.4,3.6,.660,1.1,1.5,.700,0.0,5.8,4.4,0.5,0.3,0.8,0.5
Kris Murray,MEM,"SG,SF",,328,299,1%,57,23:23,2.3,4.8,.467,0.7,1.0,.684,0.6,5.8,3.6,1.4,0.9,0.4,0.8
Tre Johnson,WAS,"PG,SG,SF",,242,300,7%,60,24:03,4.5,10.8,.419,1.3,1.5,.874,1.9,12.2,2.8,2.0,0.6,0.3,1.6
Steven Adams,HOU,"C",GTD,398,301,2%,32,22:48,2.2,4.3,.504,1.5,2.5,.580,0.0,5.8,8.6,1.5,0.7,0.6,1.1
Anthony Gill,WAS,"PF,C",NA,343,302,0%,55,17:17,2.5,3.9,.628,0.6,0.8,.739,0.3,5.8,2.9,1.3,0.6,0.4,0.7
Skal Labissière,WAS,"C",NA,556,303,0%,3,12:40,2.0,3.3,.600,0.0,0.0,,0.3,4.3,3.0,1.0,0.7,0.3,0.3
Terance Mann,BKN,"SG,SF",,295,304,1%,63,24:16,2.7,5.8,.457,1.0,1.3,.788,0.9,7.2,3.2,3.0,0.7,0.2,1.1
Klay Thompson,MIA,"SG,SF",,273,305,18%,69,21:42,4.1,10.6,.393,0.5,0.7,.766,2.9,11.7,2.1,1.4,0.5,0.3,0.9
Buddy Hield,ATL,"SG,SF",,307,306,1%,51,16:03,2.8,6.4,.437,0.6,0.7,.811,1.5,7.6,2.3,1.4,0.8,0.2,0.9
Oscar Tshiebwe,HOU,"PF,C",,416,307,0%,27,16:35,3.4,5.4,.634,1.0,1.8,.551,0.0,7.8,6.6,1.2,0.6,0.2,0.8
Bub Carrington,WAS,"PG,SG",,240,308,4%,82,27:42,3.8,9.0,.424,1.0,1.4,.730,2.1,10.7,3.4,4.6,0.6,0.2,2.3
Jonathan Kuminga,MIN,"SF,PF",,207,309,25%,36,23:03,4.4,9.4,.463,2.5,3.4,.724,1.0,12.2,5.6,2.3,0.6,0.3,1.9
Haywood Highsmith,PHX,"SF,PF",,421,310,0%,7,13:00,1.7,3.3,.522,0.9,1.0,.857,1.1,5.4,1.9,1.0,0.6,0.0,0.0
Landry Shamet,NYK,"SG,SF",,341,311,1%,51,22:57,3.1,7.1,.437,1.1,1.5,.711,2.0,9.3,1.8,1.4,0.6,0.2,0.6
K. Caldwell-Pope,PHI,"SG,SF",GTD,292,312,2%,51,21:19,2.9,7.2,.410,1.4,1.6,.913,1.1,8.4,2.5,2.7,0.8,0.2,1.2
Jamal Shead,TOR,"PG",,234,313,5%,82,22:35,2.3,6.1,.367,1.1,1.4,.784,1.0,6.6,1.7,5.4,0.9,0.2,1.4
Baylor Scheierman,BOS,"SG,SF",,210,314,5%,77,18:33,2.0,4.3,.453,0.4,0.4,.903,1.3,5.5,3.5,1.5,0.5,0.1,0.6
Jonas Valančiūnas,DEN,"C",NA,277,315,1%,65,13:24,3.5,6.0,.582,1.6,2.1,.772,0.1,8.7,5.1,1.2,0.2,0.6,1.1
Kasparas Jakučionis,MIL,"PG,SG",,345,316,4%,53,17:49,1.9,4.5,.429,1.1,1.2,.879,1.2,6.2,2.6,2.6,0.6,0.1,0.9
Bones Hyland,MIN,"PG,SG",,300,317,1%,71,16:34,3.0,6.6,.453,0.9,1.2,.780,1.6,8.5,1.8,2.6,0.6,0.2,1.0
Caris LeVert,MIL,"SG,SF",,303,318,1%,60,19:13,2.7,6.5,.417,1.0,1.4,.679,1.0,7.4,2.0,2.7,0.9,0.7,1.4
DeAndre Jordan,NOP,"C",,467,319,0%,12,16:34,1.8,2.7,.656,0.9,1.4,.647,0.0,4.4,6.3,0.9,0.3,0.8,0.8
Jaden Ivey,CHI,"PG,SG",NA,358,320,1%,37,18:06,3.1,6.9,.445,1.0,1.3,.809,1.4,8.5,2.5,1.8,0.6,0.4,1.1
Khris Middleton,WAS,"SF,PF",,302,321,2%,63,22:50,3.6,8.6,.420,1.9,2.2,.875,1.1,10.2,3.7,2.8,0.7,0.1,1.7
Keshon Gilbert,ATL,"SG",GTD,552,322,0%,4,18:30,1.3,3.0,.417,1.8,1.8,1.000,0.0,4.3,1.3,3.0,0.8,1.0,2.0
Bryce McGowens,NOP,"SG,SF",GTD,372,323,1%,42,20:57,2.7,5.6,.481,1.8,2.3,.779,0.9,8.1,2.1,1.5,0.6,0.2,0.4
Tristan Vukcevic,WAS,"C",,342,324,1%,49,13:41,3.1,6.5,.479,1.8,2.3,.784,1.0,9.0,3.0,1.1,0.5,0.7,1.3
Ryan Dunn,PHX,"SF,PF",,287,325,1%,70,19:21,2.3,5.2,.453,0.3,0.7,.489,0.8,5.8,4.2,1.5,0.9,0.4,0.8
Adem Bona,PHI,"C",,189,326,8%,71,17:22,1.8,3.1,.595,1.1,1.6,.708,0.0,4.8,4.3,0.5,0.4,1.2,0.8
Simone Fontecchio,MIA,"SF,PF",,291,327,1%,70,16:45,2.8,6.7,.412,1.2,1.5,.843,1.8,8.5,3.0,1.4,0.5,0.1,0.7
Vince Williams Jr.,UTA,"PG,SG",NA,367,328,1%,40,20:30,2.6,7.3,.353,1.0,1.3,.780,1.4,7.5,3.9,4.2,0.7,0.4,1.8
Mouhamed Gueye,ATL,"PF,C",GTD,290,329,1%,77,15:18,1.7,3.8,.452,0.5,0.8,.645,0.5,4.4,3.6,0.9,0.8,0.5,0.4
Cody Williams,MIN,"SG,SF",,326,330,2%,67,24:20,3.6,7.6,.468,1.3,1.8,.706,0.4,8.8,3.0,2.0,0.8,0.4,1.1
Ben Sheppard,IND,"SG,SF",,306,331,1%,65,21:22,2.6,6.0,.434,0.6,0.8,.765,1.3,7.1,3.0,1.8,0.6,0.1,0.6
Quenton Jackson,IND,"PG,SG",,347,332,1%,49,18:18,3.1,6.7,.470,2.0,2.4,.824,0.9,9.1,2.3,2.9,0.6,0.1,1.3
Nique Clifford,SAC,"SG,SF",,214,333,6%,75,25:05,3.3,7.9,.418,0.9,1.3,.722,1.0,8.6,3.8,2.4,0.9,0.3,1.5
Leonard Miller,CHI,"SF,PF",,364,334,2%,46,15:37,3.2,5.7,.553,0.8,1.2,.736,0.7,7.8,3.9,0.9,0.4,0.3,0.8
Will Riley,WAS,"SF,PF",,178,335,7%,74,22:04,3.7,8.4,.439,1.9,2.4,.800,1.1,10.3,2.9,2.0,0.7,0.1,1.3
Jevon Carter,ORL,"PG,SG",,348,336,1%,53,16:21,2.3,5.8,.401,0.3,0.4,.789,1.5,6.4,1.7,1.6,0.8,0.2,0.7
Thomas Bryant,CLE,"C",,308,337,1%,60,12:12,2.3,4.5,.506,0.9,1.1,.803,0.8,6.2,3.4,0.6,0.3,0.4,0.5
Cam Whitmore,CLE,"SF,PF",NA,419,338,1%,21,16:51,3.7,8.0,.456,1.1,1.5,.742,0.8,9.2,2.8,0.7,0.7,0.4,0.9
Walter Clayton Jr.,MEM,"PG,SG",GTD,323,339,3%,69,20:25,2.6,6.7,.384,1.6,1.8,.901,1.1,7.8,2.0,4.0,0.6,0.3,1.7
DeJon Jarreau,MEM,"SG",NA,503,340,0%,11,21:00,3.0,7.5,.398,1.6,2.1,.783,0.4,8.0,4.6,3.3,0.9,0.7,2.4
Patrick Williams,CHI,"SF,PF",,312,341,1%,72,20:28,2.5,6.6,.372,0.8,1.0,.720,1.3,7.0,3.0,1.5,0.7,0.4,1.0
Justin Edwards,PHI,"SF,PF",,309,342,1%,64,15:16,2.2,5.0,.447,0.5,0.6,.846,1.0,6.0,1.5,1.3,0.8,0.2,0.6
Clint Capela,HOU,"C",,296,343,1%,75,12:21,1.6,3.0,.520,0.6,1.0,.577,0.0,3.8,4.6,0.7,0.5,0.8,0.5
Elijah Harkless,DET,"PG,SG",,436,344,0%,26,20:57,2.1,6.2,.335,1.9,2.5,.766,0.8,6.8,2.0,2.9,1.2,0.2,1.0
Jericho Sims,MIL,"PF,C",,331,345,1%,67,19:40,2.2,2.8,.784,0.7,1.1,.620,0.0,5.0,5.5,1.6,0.3,0.3,1.1
Sion James,CHA,"SG,SF",,304,346,1%,82,22:28,1.7,4.5,.371,1.0,1.2,.837,1.0,5.4,3.5,2.0,0.6,0.2,0.8
Corey Kispert,ATL,"SG,SF",,320,347,1%,58,18:37,3.2,6.8,.467,1.3,1.7,.794,1.5,9.2,2.3,1.6,0.3,0.2,0.8
Enrique Freeman,MIN,"PF",,551,348,0%,4,9:15,1.0,2.0,.500,0.8,1.0,.750,0.5,3.3,2.5,0.5,0.5,0.8,0.5
Eric Gordon,MEM,"SG,SF",NA,487,349,0%,6,12:19,2.0,3.5,.571,0.2,0.3,.500,1.3,5.5,0.3,0.5,0.7,0.2,0.5
Nicolas Batum,LAC,"SF,PF",NA,289,350,0%,74,17:30,1.3,3.2,.403,0.1,0.1,.818,1.2,4.0,2.5,0.9,0.6,0.3,0.5
Kevon Looney,LAL,"PF,C",,397,351,1%,21,14:40,1.2,2.9,.417,0.3,0.5,.700,0.1,2.8,5.6,1.6,0.4,0.5,0.4
Mike Conley,BOS,"PG",,305,352,1%,54,18:21,1.3,4.0,.335,0.8,0.9,.900,1.0,4.5,1.7,2.9,0.6,0.3,0.6
Pat Spencer,PHX,"PG,SG",,335,353,1%,66,18:37,2.8,6.6,.427,0.7,0.9,.772,0.9,7.2,2.4,3.5,0.7,0.1,1.3
Kobe Sanders,LAC,"SG,SF",,332,354,1%,68,19:52,2.6,5.6,.466,0.8,1.0,.826,1.2,7.3,2.3,1.6,0.7,0.1,1.2
Devin Carter,ATL,"PG,SG",NA,408,355,1%,38,18:25,3.2,7.7,.414,1.8,2.5,.713,0.8,8.9,3.3,2.7,0.9,0.2,1.4
Branden Carlson,POR,"C",,380,356,0%,42,11:37,2.3,4.4,.527,0.4,0.6,.577,0.7,5.8,3.0,0.7,0.2,0.6,0.4
Rocco Zikarsky,MIN,"C",,545,357,0%,5,7:12,1.0,1.6,.625,0.8,0.8,1.000,0.0,2.8,2.8,0.4,0.0,1.0,0.2
Seth Curry,GSW,"PG,SG",NA,447,358,0%,10,13:18,2.4,4.9,.490,1.1,1.2,.917,1.2,7.1,1.2,1.0,0.3,0.0,0.2
Nae'Qwan Tomlin,CLE,"SF,PF",,330,359,1%,64,15:41,2.3,4.9,.478,0.7,1.0,.770,0.4,5.8,2.9,0.8,0.6,0.5,0.5
Tyson Etienne,BKN,"PG",,464,360,0%,24,15:49,2.4,6.0,.400,1.3,1.5,.833,1.8,7.9,1.1,1.7,0.5,0.0,0.7
Jared McCain,OKC,"PG,SG",,223,361,14%,67,17:18,3.0,7.2,.425,0.8,0.9,.864,1.5,8.3,2.0,1.3,0.5,0.1,0.8
Kenrich Williams,OKC,"PF,C",,339,362,1%,56,15:16,2.5,5.3,.473,0.6,0.9,.635,0.9,6.5,3.3,1.4,0.6,0.1,0.8
Ethan Thompson,IND,"PG,SG",NA,433,363,0%,32,20:24,2.3,6.1,.378,1.2,1.5,.787,1.2,7.0,2.2,1.8,0.6,0.3,0.8
Jarred Vanderbilt,LAL,"PF,C",,325,364,1%,65,17:21,1.7,3.7,.471,0.5,0.9,.589,0.4,4.4,4.5,1.3,0.8,0.3,0.9
Killian Hayes,SAC,"PG,SG",NA,448,365,0%,23,17:39,1.8,6.0,.304,1.1,1.2,.929,0.7,5.5,2.3,3.5,0.9,0.2,1.2
Pete Nance,MIL,"SF,PF",,389,366,0%,47,15:40,2.1,4.1,.515,0.1,0.2,.364,1.1,5.4,2.7,1.0,0.3,0.3,0.6
Caleb Love,PHI,"PG,SG",,390,367,1%,49,20:40,3.9,10.0,.388,0.7,1.0,.735,1.9,10.4,2.3,2.5,0.6,0.1,1.3
Rayan Rupert,PHI,"SG,SF",,350,368,1%,64,16:45,1.9,4.9,.393,0.7,0.8,.778,0.7,5.2,2.9,1.1,0.9,0.1,0.9
Tidjane Salaün,CHA,"PF,C",,393,369,1%,37,15:32,2.2,4.3,.503,0.7,1.1,.650,1.0,6.0,4.0,0.7,0.4,0.2,0.7
Sharife Cooper,WAS,"PG",NA,406,370,0%,41,17:04,3.1,6.0,.514,1.2,1.5,.833,0.7,8.1,2.1,3.0,0.4,0.1,1.5
Jahmai Mashack,MEM,"PG,SG,SF",,442,371,0%,31,21:42,2.5,6.3,.395,0.6,1.1,.543,0.6,6.2,2.6,2.2,1.2,0.5,1.6
Moussa Cisse,DAL,"C",,218,372,2%,38,13:57,1.7,3.0,.574,1.0,2.1,.469,0.0,4.5,5.7,0.2,0.5,1.2,0.8
Julian Strawther,DEN,"SG,SF",,337,373,1%,57,15:06,2.6,5.6,.467,1.0,1.2,.814,1.0,7.2,2.0,1.1,0.4,0.1,0.6
Kobe Brown,IND,"SF,PF",,353,374,0%,61,15:47,2.1,4.4,.469,0.8,1.0,.797,0.9,5.8,3.0,1.3,0.4,0.2,0.9
Olivier Sarr,CLE,"C",,560,375,0%,4,9:45,1.3,1.8,.714,0.5,1.3,.400,0.5,3.5,2.8,1.3,0.5,0.8,0.5
