PLAYER,TEAM,POS,ADP,AVG_ROUND,PCT_DRAFTED,X_RANK
Norman Powell,CHI,"SG,SF",93.8,,99%,
Nic Claxton,CHI,C,95.2,,99%,
Myles Turner,MIL,C,95.5,,100%,
Ty Jerome,MEM,"PG,SG",95.9,,99%,
Duncan Robinson,DET,"SG,SF",96.3,,3%,
Josh Hart,NYK,"SG,SF",96.8,,99%,
Jabari Smith Jr.,HOU,"PF,C",98.2,,99%,
Daniel Gafford,DAL,C,98.3,,5%,
Miles Bridges,PHX,PF,98.4,,99%,
Allen Graves,TOR,PF,98.4,,2%,
Moussa Diabaté,CHA,C,98.7,,3%,
Immanuel Quickley,TOR,"PG,SG",98.8,,99%,
Cedric Coward,MEM,"SG,SF",100.5,,99%,
Isaiah Hartenstein,OKC,C,102.5,,97%,
Mark Williams,PHX,C,102.9,,98%,
Neemias Queta,BOS,C,104.9,,99%,
Jaime Jaquez Jr.,MIL,"SG,SF,PF",105.1,,98%,
Johni Broome,LAC,C,105.4,,5%,
Kristaps Porziņģis,GSW,C,105.9,,98%,
Rui Hachimura,LAC,"SF,PF",106.2,,4%,
Ayo Dosunmu,MIN,"PG,SG",106.4,,96%,
Jared McCain,OKC,"PG,SG",106.6,,3%,
Cameron Johnson,DEN,"SF,PF",107.9,,4%,
Jalen Suggs,ORL,"PG,SG",108.2,,97%,
Jalen Green,PHX,"SG,SF",109.3,,96%,
Sam Hauser,BOS,"SF,PF",109.6,,2%,
Ajay Mitchell,OKC,"PG,SG",109.7,,10%,
Klay Thompson,MIA,"SG,SF",109.7,,7%,
Mitchell Robinson,BOS,C,109.9,,6%,
Andrew Wiggins,MIA,"SG,SF,PF",110.0,,98%,
Wendell Carter Jr.,ORL,C,110.3,,93%,
Darius Acuff Jr.,SAC,PG,110.5,,96%,
Kelly Oubre Jr.,IND,"SF,PF",110.6,,5%,
CJ McCollum,ATL,"PG,SG",111.1,,99%,
RJ Barrett,TOR,"SG,SF,PF",111.1,,96%,
Kyshawn George,WAS,"SG,SF,PF",111.7,,96%,
Nikola Vučević,ORL,C,111.9,,14%,
Aaron Gordon,DEN,"PF,C",112.1,,26%,
Isaiah Stewart,MEM,"PF,C",112.3,,4%,
Draymond Green,GSW,"PF,C",112.7,,12%,
Julian Champagnie,SAS,"SF,PF",114.0,,4%,
Brandin Podziemski,GSW,"PG,SG",114.1,,91%,
Cason Wallace,OKC,"PG,SG,SF",114.1,,16%,
Shaedon Sharpe,POR,"PG,SG",114.2,,4%,
Sandro Mamukelashvili,LAL,"PF,C",115.1,,91%,
Davion Mitchell,MIA,PG,115.4,,9%,
Dillon Brooks,PHX,"SF,PF",115.5,,20%,
Jrue Holiday,POR,"PG,SG",115.6,,17%,
Reed Sheppard,HOU,"PG,SG",115.6,,17%,
Peyton Watson,CLE,"SF,PF",115.7,,88%,
Yaxel Lendeborg,GSW,PF,116.0,,30%,
Collin Sexton,LAL,"PG,SG",116.0,,3%,
Kevin Porter Jr.,MIL,"PG,SG",116.6,,87%,
DeMar DeRozan,DEN,"SF,PF",116.6,,83%,
Ace Bailey,UTA,"SF,PF",116.8,,27%,
Anfernee Simons,PHI,"PG,SG",116.8,,2%,
Bobby Portis,MIA,"PF,C",117.1,,4%,
Jeremiah Fears,NOP,"PG,SG",117.1,,37%,
Jonathan Kuminga,MIN,"SF,PF",117.1,,3%,
Devin Vassell,SAS,"SG,SF",117.2,,9%,
Jusuf Nurkić,UTA,C,118.0,,77%,
Deandre Ayton,WAS,C,118.3,,4%,
Christian Braun,DEN,"SG,SF,PF",118.5,,15%,
John Collins,DET,"PF,C",118.6,,78%,
Anthony Black,ORL,"PG,SG,SF",119.2,,28%,
P.J. Washington,DAL,"PF,C",119.3,,12%,
Toumani Camara,POR,"SF,PF",119.4,,84%,
Zach LaVine,SAC,"PG,SG,SF",120.0,,68%,
Kyle Kuzma,MIL,"SF,PF",120.0,,4%,
Kyle Filipowski,UTA,"PF,C",120.1,,5%,
Jimmy Butler III,GSW,"SF,PF",120.5,,62%,
Fred VanVleet,HOU,PG,120.6,,64%,
Maxime Raynaud,SAC,C,120.8,,45%,
Collin Murray-Boyles,TOR,"PF,C",120.8,,49%,
Khaman Maluach,PHX,C,120.8,,2%,
Egor Dëmin,BKN,"PG,SG",121.1,,11%,
Keaton Wagler,LAC,SG,121.1,,9%,
Andrew Nembhard,IND,"PG,SG",121.2,,32%,
Bennedict Mathurin,NOP,"SG,SF",121.5,,5%,
Quentin Grimes,LAL,"SG,SF",121.6,,9%,
Keegan Murray,SAC,"SF,PF",121.7,,79%,
Jakob Poeltl,TOR,C,121.8,,5%,
Mikel Brown Jr.,BKN,PG,122.4,,2%,
Paul Reed,DET,"PF,C",122.8,,2%,
Saddiq Bey,NOP,"SF,PF",122.9,,52%,
Morez Johnson Jr.,DAL,PF,123.0,,3%,
Collin Gillespie,PHX,"PG,SG",125.2,,14%,
Tari Eason,HOU,"SG,SF,PF",,,,
Hannes Steinbach,CHA,PF,,,,
Isaiah Collier,UTA,"PG,SG",,,,
Jay Huff,IND,C,,,,
Joan Beringer,MIN,"PF,C",,,,
Robert Williams III,POR,C,,,,
Grayson Allen,CHA,"SG,SF",,,,
Jerami Grant,MEM,"SF,PF",,,,
Tre Jones,CHI,"PG,SG",,,,
Scotty Pippen Jr.,MEM,PG,,,,
Will Riley,WAS,"SF,PF",,,,
Herbert Jones,NOP,"SG,SF",,,,
Brayden Burries,MIL,SG,,,,
Ousmane Dieng,MIL,"SF,PF",,,,
Tobias Harris,SAS,PF,,,,
Tim Hardaway Jr.,MIA,"SG,SF",,,,
Bilal Coulibaly,WAS,"SG,SF",,,,
Yves Missi,NOP,C,,,,
Santi Aldama,DAL,PF,,,,
Kingston Flemings,ATL,PG,,,,
Jaylon Tyson,CLE,"SG,SF,PF",,,,
Jaylin Williams,OKC,"PF,C",,,,
